ทรัฟเฟิล	thráffə̂əw
แซ่บอีหลี	sɛ̂ɛp iilǐi
ซูม	suum
สะพานตากสิน	sàphaan tàaksǐn
คาลพิส	khaalaphís
ดีแทค	dii thɛ̀ɛk
เลสเบี้ยน	lèesbîan
ทรัมป์	thrám
ผ้าก๊อซ	phâa kɔ́ɔs
รามคำแหง	raamkhamhɛ̌ŋ
ล็อคเกอร์	lɔ́kkə̂ə
สำปะหลัง	sǎmpàlǎŋ
ไบเบิ้ล	baybə̂n
แคนตาลูป	khɛɛntaalûup
ห๊ะ	há
ปลาฉลามเสือ	plaa chalǎam sʉ̌a
เฟอร์รี่	fəərîi
หนิ	nì
หุ่นฟิกเกอร์	hùn fìkkə̂ə
ธนาคารเกียรตินาคินภัทร	thanaakhaan kìatnaakhin phátthara
พระปิยมหาราช	phrá pìyámahǎarâat
ดีล	diiw
เอ็มโอยู	em oo yuu
ศัลย	sǎnláyá
ปลาฉลามวัว	plaa chalǎam wua
บ่องตง	bɔ̀ɔŋ toŋ
พิมาย	phímaay
ทิกเก็ต	thíkkét
ยิน	yin
ไนท์บาซาร์	náy baasâa
หนูแฮมสเตอร์	nǔu hɛmstə̂ə
แฮมสเตอร์	hɛmstə̂ə
มิ้นท์	mín
บุญรอดบริวเวอรี่	bunrɔ̂ɔt bariwwəərîi
ลากิจ	laa kìt
แฮงค์	hɛ́ŋ
อิอิ	ì ì
ธนิยะ	thaníyá
จิมทอมป์สัน	cim thɔmsǎn
เซเลอรี	seeləərîi
อัลไซเมอร์	awsaymə̂ə
ปัตตาเลี่ยน	pàt taa lîan
นิโคติน	níkhootin
โยชิโนยะ	yoochínooyá
ลาล่ามูฟ	laalâamúuf
อาการหลงๆลืมๆ	aakaan lǒŋ lǒŋ lʉʉm lʉʉm
เบคกิ้งโซดา	bèekkîŋ soodaa
สก๊อตช์ไบรต์	sakɔ́t bray
ล่ำบึ้ก	lâm bʉ́k
ดอยอินทนนท์	dɔɔy inthanon
โลเคชั่น	lookheechân
ฟุตซอล	fútsɔɔw
ฮึบ	hʉ̀p
กวนอิม	kuanim
เจ้าแม่กวนอิม	câw mɛ̂ɛ kuanim
เสื้อวิน	sʉ̂a win
หอยเชลล์	hɔ̌y cheew
อะโวคาโด	àwookhaadoo
เฮิร์บ	hə́əp
เบจ	bèet
เตง	teŋ
เอ๋อ	ə̌ə
ความเป็นไทย	khwaam pen thay
สกูตเตอร์	sakùutə̂ə
แอ๊บแบ๊ว	ɛ́ɛp bɛ́ɛw
เอสเต้	éstêe
คิโนะคุนิยะ	khínókhúníyá
ริดสีดวงทวาร	rítsǐi duaŋ thawaan
สน.	sɔ̌ɔ nɔɔ
เซ็นทรัลเฟสติวัล	senthárát fèettìwát
พระพุทธมหามณีรัตนปฏิมากร	phrá phútthamahǎamanii ráttanapatimaakɔɔn
ริดสีดวง	rítsǐiduaŋ
มะกัน	mákan
ช็อต	chɔ́ɔt
พุดดิ้ง	phútdîŋ
บูธ	búut
มานมนาน	maa nom naan
ไฮโล	hay loo
ผญบ	phɔ̌ɔ yɔɔ bɔɔ
แมน	mɛn
กุนซือ	kunsʉʉ
มศว.	mɔɔ sɔ̌ɔ wɔɔ
ศรีนครินทรวิโรฒ	sǐinákharin wírôot
เด็กแว้น	dèk wɛ́ɛn
ไมเกรน	maykreen
สายวิทย์	sǎay wít
อสมท	ɔɔ sɔ̌ɔ mɔɔ thɔɔ
ฟลุก	flúk
ม็อบเสื้อแดง	mɔ́p sʉ̂a dɛɛŋ
ไห้	hây
คณะทันตแพทยศาสตร์	khaná thantaphɛ̂ɛtayasàat
มะกรูด	mákrùut
เต้าฮวย	tâwhuay
น้ำว้า	nám wáa
ลิสง	lísǒŋ
ฉนวนกันความร้อน	chanǔan kan khwaam rɔ́ɔn
เซ็นทรัลล็อค	senthrâw lɔ́k
อีซีพาส	ii sii pháas
ฮัดชิ้ว	hàt chíw
แพ็ก	phɛ́k
ไส้อั่ว	sây ùa
ปีนักษัตร	pii náksàt
สายมู	sǎay muu
สลิด	salìt
ขนมเปี๊ยะ	khanǒm biyá
บางพลี	baaŋphlii
สำนักเลขาธิการ	sǎmnák leekhǎathíkaan
แม่ง	mɛ̂ŋ
โมโนโซเดียมกลูตาเมต	moonoosoodiam kluutaaméet
ม้ง	móŋ
ไปยาลน้อย	payyaan nɔ́ɔy
บราวนี่	braawnîi
แปป	pɛ̀ɛp
พักหลังๆนี้	phák lǎŋ lǎŋ níi
ทะเลอันดามัน	thálee andaaman
ลอว์สัน	lɔɔsǎn
จึ้ง	cʉ̂ŋ
ซุปมิโซะ	súp mísò
อีเวนต์	iiween
โฮสต์	hóos
นารายา	naaraayaa
แฮมเบิร์ก	hɛɛmbə̀ək
จิ้น	cîn
ซุปเปอร์ฯ	súppə̂ə
เซนซิทีฟ	sensíthìif
ชิบะ	chíbà
ฉิว	chǐw
นิพจน์	níphót
เลียน	lian
เสาวรส	sǎwwarót
โลว์	loo
เจ้	cêe
เป็นแห่งๆ	pen hɛ̀ŋ hɛ̀ŋ
อาเซอร์ไบจาน	aasəəbaycaan
ฮิรางานะ	híraaŋaaná
อูฐ	ùut
โปรแกรมเล่นวิดีโอ	prookrɛɛm lên wídiioo
ครูบา	khruu baa
ร.ม.ช.	rɔɔ mɔɔ chɔɔ
แม็กนีเซียม	mɛ́ɛkniisîam
หงึก	ŋʉ̀k
สห	sahà
งวย	ŋuay
อภินันทนาการ	aphínanthanaakaan
ทาร์ทาร์	thaathaa
โมจิ	moocì
เบต้าแคโรทีน	beetâa khɛɛroothiin
เบต้า	beetâa
ศิลปาชีพ	sǐnlapaachîip
ติ๊กตอก	tík tɔ̀ɔk
ไกด์นำเที่ยว	káy nam thîaw
ลึกๆแล้ว	lʉ́k lʉ́k lɛ́ɛw
เห้ย	hə̂əy
วันวาเลนไทน์	wan waalenthay
คอมเมนต์	khɔmmén
เฟรนช์ฟรายส์	freen fraay
เอกซ์	èek
มาสด้า	máasdâa
ลิลลี่	linlîi
อินเทรนด์	in tharen
เลิฟ	lə́əf
ขึ้นฉ่าย	khʉ̂n chàay
ก.ท.	kɔɔ thɔɔ
สตาร์ท	satáat
ฟีเจอร์	fiicə̂ə
สไนเปอร์	sanǎypə̂ə
ซีเรีย	siiria
วิศวะ	wítsawá
ปังปุริเย่	paŋ pùrí yêe
อาม่า	aa mâa
ปวยเล้ง	puay léŋ
แคมป์ซ้อม	khɛɛm sɔ́ɔm
เครน	khreen
ฉีดคีโม	chìit khiimoo
คีโม	khiimoo
สเตจ	satèet
เมมโมรี	memmoorii
มาร์ค	máak
โพรเพน	phroopheen
เกสต์เฮ้าส์	kéesháw
แนวร็อก	nɛɛw rɔ́K
แพนิก	phɛɛnìk
เก็บตังค์	kèp taŋ
เกส์ตเฮาส์	kèetháw
เสิร์ฟ	sə̀əf
นิวเคลียร์	niwkhlia
ซูโม่	suumôo
วาเลนไทน์	waalenthay
รุ่ง	rûŋ
สเวตเตอร์	sáwə̀ttə̂ə
คอนเฟิร์ม	khɔnfəəm
เป็นขั้นๆ	pen khân khân
ขโจร	khacoon
สากล	sǎakon
เอกอัครราชทูต	èek àkkhrá râatcháthûut
พ.ต.ท.	phɔɔ tɔɔ thɔɔ
เรตติ้ง	réettîŋ
อุซเบกิสถาน	ùsbeekìsathǎan
เทย	thəəy
มองโกล	mɔɔŋkoow
อากู๋	aakǔu
ดอกทิวลิป	dɔ̀ɔk thiwlíp
ดอกลิลลี่	dɔ̀ɔk linlîi
ลิควิด	líkhwìt
สยอง	sayɔ̌ɔŋ
โชเฟอร์	choofəə
เซียมซี	siamsii
สคบ.	sɔ̌ɔ khɔɔ bɔɔ
สุกี้	sùkîi
คายัค	khaayák
เลาจน์	láw
หญ้าแพรก	yâa phrɛ̂ɛk
เบคอน	bee khɔ̂n
เงิบ	ŋə̂əp
พุ่งกระฉูด	phûŋ kràchùut
เป๋าฮื้อ	pǎw hʉ́ʉ
สวีทพี	sawítphii
ยุทธ	yút
มิโซะ	mísó
คัก	khák
จัน	can
แซก	sɛ̂ɛk
เกด	kèet
ไสร้	sây
พาก	phâak
โปง	pooŋ
ซาวด์เบ้าท์	saawbâw
ไพ	phay
ปละ	plà
ปัญญาจารย์	panyaacaan
วิสรรชนีย์	wísǎnchanii
พินทุ์อิ	phin ì
บริขาร	bɔɔríkhǎan
บาย	baay
แอนโชวี่	ɛɛnchoowîi
เอเชียน	eechian
เฟสติวัล	féestìwaw
ทันตกรรม	thantakam
เจ็ตแล็ก	cét lɛ́k
อั่งเปา	àŋpaw
ออนเซ็น	ɔɔnsen
คำเลียนเสียงธรรมชาติ	kham lian sǐaŋ thammachâat
รีเควส	riikhwés
เซิร์ฟบอร์ด	sə́əfbɔ̀ɔt
แฟร์	fɛɛ
อัลมอนด์	awmɔɔn
แกร็บแท็กซี่	krɛ̀p thɛ́ksîi
เพนิซิลลิน	pheenísinlin
โฮมเมด	hoomméet
คัสตาร์ด	khástàat
วันสตรีสากล	wan sàtrii sǎakon
ข้าวจ้าว	khâaw câaw
เปย์	pee
เหงื่อออกมาก	ŋʉ̀a ɔ̀ɔk mâak
บ้างาน	bâa ŋaan
โมเลกุล	mooleekun
แอคเคาต์	ɛ̀ɛkkháw
โบว์	boo
เก๊กฮวย	kék huay
เนี้ย	nía
เชอราตัน	chəəraatân
สตม.	sɔ̌ɔ tɔɔ mɔɔ
เอ้อ	ə̂ə
จ้าวบ่าว	câw bàaw
เนื่องในโอกาส	nʉ̂aŋ nay ookàat
แอร์โฮสเตส	ɛɛhóostèes
เลีย	lia
ดูสบายตาดี	duu sabaay taa dii
ฮือ	hʉʉ
กิมจิ	kimcì
โรแมนติค	roomɛntìk
บู๊ต	búut
น่ะซิ	ná sì
สภ.	sɔ̌ɔ phɔɔ
ซุน	sun
อุระ	ùrá
โรงพยาบาลบำรุงราษฎร์	rooŋ phayaabaan bamruŋrâat
เคร	khee
ไอซ์	áy
มิลลิ	minlí
ราม	raam
พระราชวังบางปะอิน	phrárâatchawaŋ baaŋpàin
สหรัฐฯ	saharát ameeríkaa
แกร็บ	krɛ̀p
โซเชียล	soosîaw
ไปตามๆกัน	pay taam taam kan
หม่อน	mɔ̀n
อัสสัมชัญ	àtsǎmchân
อัมพวา	amphawaa
ดัมเบล	dambeew
ไบค์	báy
นิวส์	niw
ออฟชั่น	ɔ́ɔfchân
พาร์ทไทม์	pháatthay
แมสก์	mɛ́ɛs
เพลย์บอย	phleebɔɔy
เซนต์	sen
มีม	miim
เคส	khées
ทำใจดีๆ	tham cay dii dii
ยูเครน	yuukhreen
พรีเมียร์ลีก	phriimia lîik
ราเม็ง	raameŋ
แฮชแท็ก	hɛ́ɛt thɛ̀ɛk
ซีรีส์	siirîis
ดี้	dîi
ดิค	dìk
ปชช.	pɔɔ chɔɔ chɔɔ
ตจว.	tɔɔ cɔɔ wɔɔ
ผบ.	phɔ̌ɔ bɔɔ
ขรก.	khɔ̌ɔ rɔɔ kɔɔ
ทรีทเม้นท์	thrîitmén
ปปช.	pɔɔ pɔɔ chɔɔ
บึ้ม	bʉ̂m
แร็กคูน	rɛ́kkhuun
ปธ.	pràthaan
กสทช.	kɔɔ sɔ̌ɔ thɔɔ chɔɔ
สกายวอล์ค	sakaay wɔ́ɔk
เฟือง	fʉaŋ
เอื้อม	ʉ̂am
ครึ่งๆ กลางๆ	khrʉ̂ŋ khrʉ̂ŋ klaaŋ klaaŋ
ปชต.	phɔɔ chɔɔ tɔɔ
สนุกเกอร์	sanùkkə̂ə
ป๊อด	pɔ́ɔt
โรฮีนจา	roohincaa
วิสาขบูชา	wísǎakhabuuchaa
น็อก	nɔ́k
สายต่อยาว	sǎay tɔ̀ɔ yaaw
แลป	lɛ́ɛp
ผจก	phɔɔ cɔɔ kɔɔ
ผวจ.	phɔ̌ɔ wɔɔ cɔɔ
ซะเมื่อไหร่	sá mʉ̂arày
บิ๊ก	bík
โพสท่า	póos thâa
หอยแครง	hɔ̌y khrɛɛŋ
ติดตังค์	tìt taŋ
ขมักเขม้น	khamàk khamên
มาด	mâat
ไหนๆ	nǎy nǎy
อินโดจีน	indoociin
ป้ายนิเทศ	pâay níthêet
ยัวะ	yúa
เง่า	ŋâw
ม่าย	mâay
เอแคลร์	eekhlɛɛ
เรอะ	rə́ə
สปอยล์	sapɔɔy
เพ้นท์	phén
แรคคูน	rɛ̂ɛk khuun
ดีเบต	diibèet
แพร๊บ	phrɛ́p
มุ้งมิ้ง	múŋ míŋ
ม๊อบ	mɔ́ɔp
เหย้า	yâw
กี่เพ้า	kìi pháw
จอร์เจีย	cɔɔcia
เฮา	haw
อ้าย	âay
เฮ็ด	hét
เกียรตินาคิน	kìatnaakhin
ธนาคารซีไอเอ็มบีไทย	thanaakhaan sii ay em bii thay
เบียร์ไทเกอร์	bia thaykəə
นางเอกเอวี	naaŋ èek eewii
เล็บเจล	lép ceew
เรือด่วน	rʉa dùan
น็อต	nɔ́t
เซ้นส์	sén
เว่อร์วัง	wə̂ə waŋ
บ๊ะจ่าง	bácàaŋ
คิกออฟ	khík ɔ́ɔf
หอยเม่น	hɔ̌ɔy mên
ใบขับขี่สากล	bay khàp khìi sǎakɔn
สาคูไส้หมู	sǎakhuu sây mǔu
แม่น้ำปิง	mɛ̂ɛ náam piŋ
อีเมล	ii meew
เรือเมล์	rʉa mee
โทรโข่ง	thoorakhòoŋ
สลิ่ม	salìm
รูมาตอยด์	ruumaatɔɔy
อิสตันบูล	ístânbuuw
อูย	uuy
โมเดล	moodeew
กีวี	kii wîi
แคป	khɛ́ɛp
พระราชพิธีบรมราชาภิเษก	phrárâatcha phíthii bɔɔrom raachaa phísèek
หวี่	wìi
กิ้งโครง	kîŋ khrooŋ
เดลิเวอรี่	deelíwəərîi
อายุร	aayúra
ปุ้ม	pûm
พร่าง	phrâaŋ
ดึ๋ง	dʉ̌ŋ
อาโวคาโด	aawookhaadoo
หมา���ฮอส	màak hɔ́ɔs
แนวรุก	nɛɛw rúk
บางปะอิน	baaŋpàin
เจ๊าะแจ๊ะ	cɔ́cɛ́
เพ่นพ่าน	phênphâan
ไปรเวท	praywêet
เสื้อช็อป	sʉ̂a chɔ́p
ไรซ์เบอร์รี่	ráybəərîi
ดาวน์	daaw
อัลตราซาวด์	awtrâasaaw
โป๊ยกั๊ก	bóoy kák
เอ๋ย	ə̌əy
ร.ง.	rooŋ ŋaan
พลางๆ	phlaaŋ phlaaŋ
มอญ	mɔɔn
กระท้อน	kráthɔ́ɔn
ต่อๆกัน	tɔ̀ɔ tɔ̀ɔ kan
สะตอ	sàtɔɔ
สะเก็ด	sàkèt
จุงเบย	cuŋ bəəy
อวก	ùak
สถาบันวิจัยจุฬาภรณ์	sàthǎaban wícaycùlaaphɔɔn
ติ๊งต๊อง	tíŋ tɔ́ŋ
สปก.	sɔ̌ɔ pɔɔ kɔɔ
สมช.	sɔ̌ɔ mɔɔ chɔɔ
คสช.	khɔɔ sɔ̌ɔ chɔɔ
ต้องมาก่อน	tɔ̂ŋ maa kɔ̀ɔn
แบ๊ว	bɛ́w
แทร็ก	thrɛ̀k
สก๊อย	sakɔ́ɔy
นอภ.	nɔɔ ɔɔ phɔɔ
ฮิ้ว	híw
ปูอลาสก้า	puu alaasakâa
เครื่องช็อตไฟฟ้า	khrʉ̂aŋ chɔ́t fay fáa
สุกี้ทะเล	sùkîi thálee
เงินเยนลง	ŋən yen loŋ
โบ้ย	bôoy
ไดร์	day
ซิง	siŋ
ซูชิจานเวียน	suuchí caan wian
โฉ่	chòo
ศูนย์นเรนทร	sǔun nareenthɔɔn
จ้าว	câaw
โฮสเตส	hoosatées
ซาร์ดีน	saadiin
น้ำมะตูม	náam mátuum
อัญชัน	anchan
ฉนวน	chanǔan
ฉนวนไฟฟ้า	chanǔan fayfáa
เชิงรุก	chəəŋ rúk
นกเอี้ยง	nók îaŋ
อินเดียนแดง	indian dɛɛŋ
แต๊ะเอีย	tɛ́ ia
ยัย	yay
เปตอง	peetɔɔŋ
เผ็ช	phèt
กานาฉ่าย	kaanaa chàay
แป๊ะซะ	pɛ́ sá
ซูชิจานหมุน	suusí caan mǔn
ผ่านๆ	phàn phàan
เม่นแคระ	mên khrɛ́
หยัง	yǎŋ
ตัวหม่อน	tua mɔ̀n
เดินสายโปรโมท	dəən sǎay proomòot
พิเรนทร์	phíreen
ก๊าก	káak
ปลาสลิด	plaa salìt
สายฝอ	sǎay fɔ̌ɔ
เอสพลานาด	eésphlaanàat
การ์ดเรล	kaatreew
ข้าวแต๋น	khâaw tɛ̌ɛn
เลิ่กลั่ก	lə̂ək lâk
ปุ้มปุ้ย	pûm pûy
โนนสะอาด	noon sà àat
อินทรี	insii
สมเด็จฯ	sǒmdèt
สแปม	sapɛɛm
เสนานิเวศน์	sanǎa níwêet
ชิมิ	chí mí
พระมหากรุณาธิคุณ	phrámáhǎa karunaathíkhun
วันเวย์	wan wee
แอคคอร์ด	ɛ́ɛkkhɔ̀ɔt
ปลีกวิเวก	plìik wíwêek
โคลิก	khoolìk
ฤทธ์	rít
มั่น	mân
ฤทธิ์อำนาจ	rít amnâat
ฯ	payyaan nɔ́ɔy
ฯลฯ	payyaan yày
กิ๊ก	kík
ดุก	dùk
ชุดแซก	chút sɛ̀ɛk
ป.ป.ส.	pɔɔ pɔɔ sɔ̌ɔ
นอย	nɔɔy
จอนูน	cɔɔ nuun
ซิมบับเว	simbàpwee
พระบรมฉายาลักษณ์	phrábrom chǎayaalák
โฮ่ง	hôoŋ
ไกด์ผี	káy phǐi
ฟรุ้งฟริ้ง	frúŋ fríŋ
แว้น	wɛ́ɛn
กาด	kàat
บอด	bɔ̀ɔt
หายาก	hǎa yâak
เฟื่องฟ้า	fʉ̂aŋ fáa
เต้าฮวยน้ำขิง	tâwhuay náam khǐŋ
ฟลามิงโก	falaamiŋkôo
เอี้ยง	îaŋ
มูเซอ	muusəə
เดี้ยง	dîaŋ
มุแง้	múŋɛ́ɛ
กระติบ	kràtìp
งะ	ŋá
ดีเลย์	diilee
ดรีมเวิร์ล	driimwəəw
คราฟต์เบียร์	khráaf bia
พล่าเนื้อ	phlâa nʉ́a
พล่า	phlâa
ลามิเนต	laamínèet
ครอบครัวโฮสต์	khrɔ̂ɔp khrua hóos
พี่ๆน้องๆ	phîi phîi nɔ́ɔŋ nɔ́ɔŋ
ควิซ	khwís
ฮีตเตอร์	hìittə̂ə
ทริค	trík
ทีมเวิร์ค	thiimwə́ək
ฮีลใจ	hiiw cay
ติก	tìk
มอเตอร์	mɔɔtə̂ə
แท็ก	thɛ́ɛk
ส.ต.ต.	sɔ̌ɔ tɔɔ tɔɔ
ซะทีเดียว	sá thii diaw
ส.ต.อ.	sɔ̌ɔ tɔɔ ɔɔ
ฟู้ดคอร์ท	fúutkhɔ̀ɔt
เคลม	khleem
วาร์ป	wáap
เมเนเจอร์	meeneecə̂ə
แฮ็ก	hɛ́k
ซะด้วย	sá dûay
สตรีมมิ่ง	sàttriimîŋ
ต้มแซ่บ	tôm sɛ̂ɛp
ไบโพลาร์	bayphoolâa
แคนเซิล	khɛɛnsə̂əw
ฟีล	fiiw
วิดพื้น	wít phʉ́ʉn
วีน	wiin
เป็นๆ หายๆ	pen pen hǎay hǎay
เอช	éet
ดับเบิลยู	dàpbə̂nyuu
หยวน	yǔan
ยูโด	yuudoo
การกระจายเสียงทางวิทยุ	kaan kràcaay sǐaŋ thaaŋ wíttháyú
ยิมนาสติก	yimnaasatìk
อะดรีนาลีน	àdariinaaliin
บรัสเซลส์	brássews
โอโคโนมิยากิ	ookhoonoomíyaakì
การติดเชื้อเป็นกลุ่มก้อน	kaan tìt chʉ́a pen klùm kɔ̂ɔn
แพลงก์ตอน	phlɛɛŋtɔɔn
เมทัล	meethân
เอเวอเรสต์	eewəərêet
ซากุระ	saakùrá
ชัตดาวน์	chát daaw
ซุ่มยิง	sûm yiŋ
แซกโซโฟน	sɛ̂ɛksoofoon
ซัมเมอร์	samməə
ฮ.	hɔɔ
เยเมน	yeemeen
ฟอเร็กซ์	fɔɔ rék
แว๊กซ์	wɛ́k
เวนิส	weenís
อลาสก้า	alàaskâa
ภูมิทัศน์	phuumíthát
โรบินฮูด	roobinhúut
อะลุ่มอล่วย	àlûm alûay
เยอบีร่า	yəəbiirâa
ลาเวนเดอร์	laaweendə̂ə
แปะก๊วย	pɛ̀kúay
ลาวา	laawaa
โรคเก๊าท์	rôok káw
เอลิซาเบธ	eelísaabèet
ภาษาคาราโอเกะ	phaasǎa khaaraaookè
ชีต้า	chiitâa
แดรกคูลา	drɛ̂ɛkkhuulâa
กาละแม	kaalámɛɛ
บรรณานุกรม	banyaanúkrom
โอเวอร์	oowə̂ə
ไชโย	chay yoo
พัตเตอร์	pháttə̂ə
โอเปอเรเตอร์	oopəəreetə̂ə
อารบิค	aarabìk
สุกๆ ดิบๆ	sùk sùk dìp dìp
รักง่ายหน่ายเร็ว	rák ŋâay nàay rew
ฮัม	ham
จ่ายตังค์เก่ง	càay taŋ kèŋ
หัตถการ	hàtthakaan
โทน	thoon
เบิ้ล	bə̂n
เสร่อ	sarə̀ə
เคาท์ดาวน์	khawdaaw
บูท	bùut
พ.ต.อ.	phɔɔ tɔɔ ɔɔ
บัดเจ็ท	bàtcét
พล.ต.อ.	phon tɔɔ ɔɔ
พล.อ.	phon ɔɔ
ความหลงใหล	khwaam lǒŋlǎy
นิสัยการกิน	nísǎy kaan kin
บั้นปลาย	bân plaay
หยก	yòk
ลีมูซีน	liimuusiin
บัลแกเรีย	bankeeria
กสม.	kɔɔ sɔ̌ɔ mɔɔ
สูทสากล	sùut sǎakon
โรงไฟฟ้านิวเคลียร์	rooŋ fay fáa niwkhlia
บั้นปลายของชีวิต	bân plaay khɔ̌ɔŋ chiiwít
ช่องแคบฮอร์มุซ	chɔ̂ŋ khɛ̂ɛp hɔɔmús
เอธิโอเปีย	eethíôopia
โอเชียเนีย	oochiania
เม่น	mên
หอดูดาว	hɔ̌ɔ duu daaw
ต้นโพธิ์	tôn phoo
เยิ้ม	yə́əm
ฟิวชั่น	fiwchân
พริ้ว	phríw
ศิลปหัตถกรรม	sǐnlapahàtthakam
เผอเรอ	phə̌ərəə
ซูกินี	suukìnîi
วงกต	woŋ kòt
จุฬาภรณ์	cùlaaphɔɔn
บางเสร่	baaŋ sarèe
อิเซตัน	ìseetan
คันจิ	khancì
นิคม	níkhom
พระบรมสารีริกธาตุ	phrábɔromsǎariiríkkathâat
หม้าย	mâay
แหลมอินโดจีน	lɛ̌ɛm indoociin
บช.น.	bɔɔ chɔɔ nɔɔ
ซุ่ม	sûm
นกกิ้งโครง	nók kîŋ khrooŋ
ไม่รู้สึกรู้สา	mây rúusʉ̀k rúusǎa
ไดออกไซด์	dayɔ́ɔksay
ศูนย์ศิลปาชีพบางไทรฯ	sǔun sǐnlapaachîip baaŋsay
ระห่ำ	ráhàm
ตุ้บตั้บ	tûp tâp
วัดเส้าหลิน	wát sâwlǐn
ขนมสาคูถั่วดำ	khanǒm sǎakhuu thùa dam
เคียด	khîat
มะยงชิด	máyoŋchít
แบริเออร์	bɛɛríə̂ə
ทิวลิป	thiwlíp
นกฟลามิงโก	nók falaamiŋkôo
ลีซอ	liisɔɔ
ข้าวหอมนิล	khâaw hɔ̌ɔm nin
เตี๊ยม	tíam
โมโนเรล	moonooreew
อันดามัน	andaaman
ซัลโมเนลลา	sawmooneewlâa
เยรูซาเล็ม	yeeruusaalem
แลง	lɛɛŋ
อาโป๊ง	aapóoŋ
สเต็ป	satèp
ดักซุ่ม	dàk sûm
ปลาฉลามขาว	plaa chalǎam khǎaw
ปลาฉลามหัวบาตร	plaa chalǎam hǔa bàat
ปลาฉลามวาฬ	plaa chalǎam waan
แร่หายาก	rɛ̂ɛ hǎa yâak
หมั่นโถว	mànthǒow
ลินิน	línin
น็อตตัวเมีย	nɔ́t tua mia
มินิมอล	mínímɔ̂ɔw
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว	phrá bàat sǒm dèt phrá cunlácɔɔm klâw câw yùu hǔa
เทียนอันเหมิน	thian an mə̌ən
สาคู	sǎakhuu
เรือดับเพลิง	rʉa dàp phləəŋ
ชินโดะ	chindò
แมกนิจูด	mɛ̂ɛknícùut
เอื้อง	ʉ̂aŋ
ยานยนต์	yaan yon
อ	à
เซอร์วิส	səəwís
คัดสรร	khát sǎn
ฟู้ด	fúut
พาวเวอร์	phaawwə̂ə
แหน	hɛ̌ɛn
ปีนี้	pii níi
ยูเรีย	yuuria
วีค	wíik
แนวเมทัล	nɛɛw meethân
คัมภีร์ไบเบิ้ล	khamphii baybə̂n
สิน	sǐn
ลันเตา	lantaw
ฟังก์ชั่น	faŋchân
หวาด	wàat
อัฐิ	athì
กต.	kɔɔ tɔɔ
ฟิกเกอร์	fìkkə̂ə
ซิลิโคนเสริมอึ๋ม	silíkhoon sə̌əm ʉ̌m
จขกท.	cɔɔ khɔ̌ɔ kɔɔ thɔɔ
เปียงยาง	piaŋyaaŋ
ฤทธิ์	rít
เซิร์ฟ	sə́əf
ปวส.	pɔɔ wɔɔ sɔ̌ɔ
เมดิเตอร์เรเนียน	meedìtəəreenîan
บูลลี่	buuwlîi
นัตโตะ	náttò
หลายปีดีดัก	lǎay pii dii dàk
เว่ย	wə̂əy
แอลคาไลน์	ɛɛwkhaalay
ทาร์ต	tháat
เก๊าท์	káw
เบสิก	beesìk
จากัวร์	caakûa
วอลนัท	wɔɔnnát
ช็อป	chɔ́p
วาทกรรม	wâatthakam
พร่างพราว	phrâaŋ phraaw
ถลึง	thalʉ̌ŋ
แท๊กซี่	thɛ́ksîi
ยีบ	yîip
เคนโด้	khendôo
แฟร์เวย์	fɛɛwee
ดิสโก	dìtsakôo
สมเด็จพระบรมราชินีนาถ	sǒmdèt phrábɔromáraachíniinâat
นิเทศ	níthêet
หลุยส์	lǔy
นปช.	nɔɔ pɔɔ chɔɔ
ร.ต.อ.	rɔɔ tɔɔ ɔɔ
ผบ.ทบ.	phɔ̌ɔ bɔɔ thɔɔ bɔɔ
ปท.	pɔɔ thɔɔ
สู้ๆ	sûu sûu
ตปท.	tɔɔ pɔɔ thɔɔ
สอย	sɔ̌y
ร่างฯ	râaŋ
อุยกูร์	uykuu
วอร์ม	wɔ́ɔm
เอี๊ยด	íat
เครมลิน	khreemlin
สไกป์	sakáy
พระบรม	phráborom
มะตูม	mátuum
นิรภัย	nírá phay
โวลเตจ	woontéet
ยูเรเชีย	yuureechia
ฮัจญ์	hát
ปวช.	pɔɔ wɔɔ chɔɔ
กรมสนับสนุนบริการสุขภาพ	krom sanàp sanǔn bɔɔríkaan sùkkhaphâap
เผิน	phə̌ən
สะพรึง	sàphrʉŋ
หวานแหวว	wǎan wɛ̌ɛw
เสียด้วย	sǐa dûay
แหง	ŋɛ̌ɛ
สาคูเปียก	sǎakhuu pìak
ลีลาวดี	liilaawadii
เคบับ	kheebàp
ธาตุหายาก	thâat hǎa yâak
โต่ง	tòoŋ
แคโรทีน	khɛɛroothiin
แว้ว	wɛ́ɛw
เมโลดิกา	meeloodìkaa
อัตลักษณ์	àttalák
ว้าวุ่น	wáa wûn
มะม่วงมหาชนก	mámûaŋ mahǎachanók
เครื่��งกล	khrʉ̂aŋ kon
คาเวียร์	khaawia
วันคนพิการสากล	wan khon phíkaan saakon
เนื่อง	nʉ̂aŋ
ไก๋	kǎy
ตอง	tɔɔŋ
พระอิศวร	phrá ìsǔan
พระพิฆเนตร	phrá phíkhanee
หน่าย	nàay
อาฟเตอร์ช็อก	àaftəəchɔ́k
ใบลาน	bay laan
รัตนโกสินทร์	ráttanakoosǐn
สยบ	sayòp
แรงส์	rɛ́ɛŋ
โหลยโท่ย	lǒoy thôy
แพริมน้ำ	phɛɛ rim náam
